Name,Scientific Name,GBIF Code,GBIF Link
Robin,Erithacus rubecula,2492462,http://gbif.org/species/2492462
Great Tit,Parus major,9705453,http://gbif.org/species/9705453
Goldfinch,Carduelis carduelis,2494686,http://gbif.org/species/2494686
Chaffinch,Fringilla coelebs,2494422,http://gbif.org/species/2494422
Greenfinch,Chloris chloris,5845582,http://gbif.org/species/5845582
Wren,Troglodytes troglodytes,5231438,http://gbif.org/species/5231438
Yellowhammer,Emberiza citrinella,2491534,http://gbif.org/species/2491534
Dunnock,Prunella modularis,5231763,http://gbif.org/species/5231763
Coal tit,Periparus ater,2487871,http://gbif.org/species/2487871
Goldcrest,Regulus regulus,2484596,http://gbif.org/species/2484596
Blue Tit,Cyanistes caeruleus,2487879,http://gbif.org/species/2487879
